,Title,Genre,Favorite count,Maximum Visits,Total Visitors,likes count,dislikes count,Description
0,[capoeira + flow] mighty omega,Fighting,30025,35,2711700,7745,846,"Sequel to our previous game on Tokita_Ohma account

Game will eventually be free to play in the future.

Mobile is not finished.

Basic Controls:
Double tap W to run 
While running pressing 'R' will toggle from jog/sprinting
Q for Dash
Holding F with combat tool for Block
F + LMB for perfect block on guard break move(with combat tool)
F + RMB for counter on any hit (with combat tool)
LMB for attacking
RMB for Guard break

Scripter: IncredibleAyum
Builders: streetjess, MisterAokiji
Animator: dodorider
GFX/Modeller: MoltenPrime

Contributors: Xatio, Tacomura, Legexy

Based off a manga
"
1,[2x logia update 3.5] grand piece online,Adventure,306450,1,52657426,171280,8946,"PC ONLY
Long awaited naval adventure experience. 

Work towards your ideal build, discover hidden locations, and challenge difficult bosses while competing with others!

Scavenge the lands for treasure and exotic fruits known to empower their eaters. Hunt the pirates, or side with them. 

Perhaps you'll join a crew, or better yet, make one yourself. 

2x logia rates are AUTOMATICALLY applied every friday-sunday

Miscellaneous controls:
M-Menu
Ctrl-Climb
P-Sit on ship
WW-Sprint"
2,vesteria,Adventure,356118,10,23429074,111341,10799,"Explore breathtaking worlds, fight powerful monsters, discover hidden secrets and precious treasures, form guilds with friends, raid ominous dungeons, and much, much more in the vast open-world of Vesteria; the ultimate casual fantasy experience.

🏆 2019 Bloxy Winner for Technical Achievement"
3,[2x exp] shindo,All Genres,1526506,5,829036947,964511,60358,"056 UPDATE:
https://www.youtube.com/watch?v=IGHjOGo89wc

🔊 Subscribe for codes & updates:
🔷 https://www.youtube.com/c/RELLGAMES?sub_confirmation=1

💾 Version: 
🔷 056.5

🌐 Developers:
🔷 RELLsin @CaribBros
🔷 RELLvex @CaribVros

🕹 Get 2X Daily Rewards/Join for 2XP:
🔷 https://www.roblox.com/groups/1226491/RELL-World#!/about
🔷 https://www.roblox.com/groups/4939446/RELL-GAMES#!/about"
4,[updated peace treaties] rise of nations,Military,198212,50,38770535,74140,11574,"Grand Strategy game focused on world domination

Biomes have been added. Take advantage of your new conditions. Events have also been added. Make careful choices that can change your country in this new major update!

Military leaders that can help turn the tide of a war, and more in this new update

Massive Technology Overhaul update, as well as numerous other changes.

You can now either unlock or purchase skins in the skins menu in game

Hold left shift to ignore units
Right click and drag to move
Mouse wheel or F/R to Zoom
Drag via left click to select multiple units

READ THE HELP
"
5,[dogs!] welcome to farmtown! [beta],Building,264161,16,29047276,81708,10274,"😄 Chat with EVERYONE using Roblox's first ever GLOBAL CHAT! 🌎🌍🌏
👪 Make friends and farm together! 🔨
🐄 Raise cute animals like dogs, chickens, and cows! ✨
⛏️ Delve deep into the earth and drag up precious metals! 🏆💎
🍞 Cook food for yourself and your friends!
🚚 Drive around town! 🚗🚜🚁
🎪 Visit the fairgrounds! 🎡
💸 Make tons of money! 💸💸💸
🧭 Explore outside the town and you might even find fossils! 🦖👽

✨Proudly made in the USA.

Keywords: farming, farm, open world, roleplay, animals, crops, corn subsidies, potato, business, tycoon, woof, building, decorating, interior design, farting, cute animals, raise animals, throw a party, mining, furniture, friends, no affiliation with stardew valley"
6,season 4  anime fighting simulator,Fighting,2283982,20,978809444,1043211,52745,"Anime Fighting Simulator is a training game inspired by multiple popular Anime shows.

Player Multiplier Limit: 2.25q

👊Latest Update [UPDATE 18]:
- 💸SALE!
- 🌟SEASON 4!
- ⚔️NEW TOURNAMENT MODE!
- 💥3 NEW QUIRKS!
- 🔴1 NEW BLOODLINE!
- 🍋1 NEW FRUIT!
- 👿NEW BOSS!
- 🐰EASTER EVENT!
- 🌌NEW AURA CHEST!
- 🥚EASTER DECORATION!
- 🔥2 NEW POWERS!
- 🛡️5 NEW CHAMPIONS!
- 💪3 NEW TRAINING AREAS!
- ⚔️8 NEW SWORD SKINS!
- 🗡️1 NEW SWORD!
- ⚖️POWER BALANCING!

⭐Join BlockZone for a 5% increased training boost:
https://www.roblox.com/groups/5202664/BlockZone#!/about

🎁Follow us on Twitter for codes and updates on the game:
Director: @NyxunRBX
Head Developers: @RobxSoft, @_Chichine
Scripters: @_DevCrow, @eXo0ne_, @lyzrinn, @Dact_ylioglyph
Builder: @BIack_Smith
Modeler: @Mirror_RBX"
7,world // zero,RPG,915830,12,115459358,321584,20337,"- World 7 is here!
- Dungeon 7-1 released
- Level cap raised to 95
- Tower 3 coming soon!

🌎 Welcome to World // Zero! 🌎
Choose a starter class and battle your way through 6 Worlds with over 20 unique Dungeons. Defeat fearsome bosses, unlock new classes, collect pets, find rare loot and go on an epic adventure!

🏆 2019 Bloxy Award for Best Use of Tech! 🏆
🏆 2020 Bloxy Award for Most Immersive Experience! 🏆"
8, plane crazy ,Building,562599,10,131191027,176903,44093,"Currently developed by rickje139, original game by madattak. Build your own crazy vehicles, planes, car, boats, rockets, drones, or a combination of all of them! Features both a pvp and non-pvp mode for peaceful building or facing off with your friends!"
9, namek boss  super evolution [beta],Adventure,171671,15,19798376,69383,6171,"Current Codes: FREEZA (And secret Codes around the Map!)

Welcome to Super Evolution! Train your Strength, Endurance, Energy and Agility to become the Strongest Saiyan in the Universe! Will you top the Leaderboards and awaken your full potential?

📝 UPDATE 6: 📝
- NAMEK BOSS - FREEZA!
- FREEZA HERO!
- DEATH LAZER MOVE!
- TRAINING ZONE FIX!
- BUGFIXING


🔔 Click the game's FOLLOW button to be notified of new updates! 

👁‍🗨 Join us at 'InnoVision' for Group Rewards:
 - https://www.roblox.com/groups/9162125/InnoVision

🎮 Controls:
 - Charge Ki (PC: Hold 'X' | Console: Hold 'X' Button | Device: Hold Charge Button)
 - Run/Ki Boost (PC: Press CTRL | Console: Press L3 | Device: Hold Boost Button)
 - Block (PC: Hold 'F' | Console: Hold 'B' Button | Device: Hold Block Button)
 - Lock-On (PC: Press 'L' | Console: Right DPAD | Device: Lock Button)"
